2778510	2014-04-12 18:08:53.978	475
2778511	2014-04-12 18:08:53.978	462
2778512	2014-04-12 18:08:53.979	814
2778513	2014-04-12 18:08:53.979	938
2778514	2014-04-12 18:08:53.979	128
2778515	2014-04-12 18:08:53.979	394
2778510	2014-04-12 18:08:55.976	869
2778511	2014-04-12 18:08:55.976	829
2778512	2014-04-12 18:08:55.976	690
2778513	2014-04-12 18:08:55.976	532
2778514	2014-04-12 18:08:55.976	132
2778515	2014-04-12 18:08:55.976	836
2778510	2014-04-12 18:08:57.977	786
2778511	2014-04-12 18:08:57.977	228
2778512	2014-04-12 18:08:57.977	536
2778513	2014-04-12 18:08:57.977	11
2778514	2014-04-12 18:08:57.977	973
2778515	2014-04-12 18:08:57.977	810
2778510	2014-04-12 18:08:59.976	401
2778511	2014-04-12 18:08:59.976	746
2778512	2014-04-12 18:08:59.976	108
2778513	2014-04-12 18:08:59.977	604
2778514	2014-04-12 18:08:59.977	917
2778515	2014-04-12 18:08:59.977	970
2345610	2014-04-12 18:44:40.999	558
2345611	2014-04-12 18:44:40.999	606
2345612	2014-04-12 18:44:40.999	142
2345613	2014-04-12 18:44:40.999	279
2345614	2014-04-12 18:44:40.999	384
2345615	2014-04-12 18:44:40.999	234
2345616	2014-04-12 18:44:40.999	854
2345610	2014-04-12 18:44:42.999	889
2345611	2014-04-12 18:44:43.0	807
2345612	2014-04-12 18:44:43.0	31
2345613	2014-04-12 18:44:43.0	880
2345614	2014-04-12 18:44:43.0	201
2345615	2014-04-12 18:44:43.0	670
2345616	2014-04-12 18:44:43.0	452
2345610	2014-04-12 18:44:45.0	398
2345611	2014-04-12 18:44:45.0	613
2345612	2014-04-12 18:44:45.0	264
2345613	2014-04-12 18:44:45.0	888
2345614	2014-04-12 18:44:45.001	428
2345615	2014-04-12 18:44:45.001	921
2345616	2014-04-12 18:44:45.001	653
2345610	2014-04-12 18:44:46.999	354
2345611	2014-04-12 18:44:46.999	130
2345612	2014-04-12 18:44:46.999	960
2345613	2014-04-12 18:44:46.999	103
2345614	2014-04-12 18:44:46.999	313
2345615	2014-04-12 18:44:46.999	369
2345616	2014-04-12 18:44:46.999	352
